SYMPTOMS,REASON,SUB_COMMODITY,BusinessSegment,ProductCategory,ProductGroup,FamilyGroup,FormFactor,Supplier,Family,ProcessorSupplier,ProcessorSocketCount,REGION,CASE_COUNTRY,COMMODITY
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,System Board failure or error,NOT ENOUGH INFORMATION,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
LED/Sensor - Temperature Sensor Failure or obviously inaccurate reading,No boot/No Video,RESEAT,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Singapore,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
LED/Sensor - SID LEDs not Functioning/Incorrectly Lit,System Board failure or error,LED/SENSOR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,Device Not detected/Accessible/Available,MISCELLANEOUS PCA ISSUES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Port not Working - Video (VGA),System Board failure or error,CONNECTOR/PORT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,Japan,SYSTEM BOARD
Runtime - OS Crash (xSOD Crash),Blue/Red/Purple/black screen,RUNTIME FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,System Board failure or error,NOT ENOUGH INFORMATION,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),Machine check error,PROCESSOR,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,Error warning reported by the system,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,SYSTEM BOARD
Remote Management - Management Processor Failure,Device Not detected/Accessible/Available,REMOTE MANAGEMENT,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AP,Australia,SYSTEM BOARD
LED/Sensor - Temperature Sensor Failure or obviously inaccurate reading,System Board failure or error,MULTIPLE PARTS,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Fan - Fans at High Speed - No Other Data Provided,Fan issue/Failure,FAN,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Australia,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
LED/Sensor - Temperature Sensor Failure or obviously inaccurate reading,Thermal issue within system or device,LED/SENSOR,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Power - PCA Replaced for Power Supply Issue,Error warning reported by the system,POWER FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,FW/SW/Driver load or update issue,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
OS does not boot (BIOS completes boot),No boot/No Video,Linux,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,India,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AP,India,Non SystemBoard Issue
time offset,Error warning reported by the system,ROM-Legacy,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AP,India,Non SystemBoard Issue
Critical Error - NMI,Error warning reported by the system,CRITICAL ERROR,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AM,USA,SYSTEM BOARD
Embedded Controller - PCA replaced for ROC Issue,Error warning reported by the system,EMBEDDED CONTROLLER,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
OS hang/unresponsive,Hangs,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Australia,Non SystemBoard Issue
OS error message(s),System shuts down,Linux,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Germany,Non SystemBoard Issue
OS hang/unresponsive,System shuts down,Missing Data,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,Switzerland,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS error message(s),Blue/Red/Purple/black screen,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,EMEA,United Kingdom,Non SystemBoard Issue
OS does not boot (BIOS completes boot),No boot/No Video,Windows,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AP,Japan,Non SystemBoard Issue
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Italy,SYSTEM BOARD
Expansion/Option - Installed Option Cards not Recognized at POST,Device Not detected/Accessible/Available,EXPANSION/OPTION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,France,SYSTEM BOARD
Memory - PCA Replaced for Unspecified Memory Issue,No boot/No Video,MEMORY,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),Memory DIMM failure/uncorrectable memory error/correctable threshold exceeded,MULTIPLE PARTS,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),Error warning reported by the system,PROCESSOR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Ireland,SYSTEM BOARD
Power - PCA Replaced for Power Supply Issue,No boot/No Video,POWER FAILURES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,United Kingdom,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,Hangs,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,SY-Core 2P,DL80,Rack,H3C,DL80 Gen9,Intel,2,EMEA,Sweden,SYSTEM BOARD
Power - PCA Replaced for Power Supply Issue,System Board failure or error,POWER FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,EMEA,South Africa Republic of,SYSTEM BOARD
No Boot - Red Health LED,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,EMEA,Netherlands,SYSTEM BOARD
Miscellaneous PCA Issues - PCA Replaced for SW Issue,No boot/No Video,MISCELLANEOUS PCA ISSUES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,System Board failure or error,NOT ENOUGH INFORMATION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Spain,SYSTEM BOARD
Memory - PCA Replaced for Unspecified Memory Issue,Error warning reported by the system,MEMORY,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Israel,SYSTEM BOARD
Processor - CPU Failure LED on,Processor failure or error,PROCESSOR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Poland,SYSTEM BOARD
Expansion/Option - Installed Option Cards Detected but not Functional,No boot/No Video,EXPANSION/OPTION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,United Kingdom,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),Machine check error,MULTIPLE PARTS,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,France,SYSTEM BOARD
No Boot - Amber Health LED,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Italy,SYSTEM BOARD
Port not Working - USB,Connectivity issue and or specific Port issue,CONNECTOR/PORT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Switzerland,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Netherlands,SYSTEM BOARD
Miscellaneous PCA Issues - FW Update Failure/Crash,iLO failure or error,MISCELLANEOUS PCA ISSUES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Spain,SYSTEM BOARD
No Boot - No Further Details Specified,Device Not detected/Accessible/Available,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,France,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,United Arab Emirates,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Miscellaneous PCA Issues - FW Update Failure/Crash,No boot/No Video,MISCELLANEOUS PCA ISSUES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Critical Error - NMI,Error warning reported by the system,CRITICAL ERROR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Miscellaneous PCA Issues - System ROM Battery,Battery failure or error,MISCELLANEOUS PCA ISSUES,Rack & Tower,Rack & Tower,SY-Core 2P,DL160,Rack,Inventec,DL160 Gen9,Intel,2,AM,Colombia,SYSTEM BOARD
"No Boot - Power LED Stays Amber, No Video",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AM,USA,SYSTEM BOARD
No Boot - Blinking Health LED,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Italy,SYSTEM BOARD
Embedded Controller - PCA replaced for ROC Issue,System reboots,EMBEDDED CONTROLLER,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Italy,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,OTHER,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Greece,SYSTEM BOARD
Memory - Post Error 207,Memory DIMM failure/uncorrectable memory error/correctable threshold exceeded,MULTIPLE PARTS,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,France,SYSTEM BOARD
Remote Management - Management Processor Failure,Error warning reported by the system,REMOTE MANAGEMENT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
Critical Error - NMI,Blue/Red/Purple/black screen,CRITICAL ERROR,Enterprise,Blades,MV-Blades-2P,WS460,Blades,FoxConn,WS460c Gen9,Intel,2,EMEA,Netherlands,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),Machine check error,MULTIPLE PARTS,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,France,SYSTEM BOARD
Power - System Power Fault Detected,Error warning reported by the system,RESEAT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Poland,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Netherlands,SYSTEM BOARD
Runtime - OS Crash (xSOD Crash),Blue/Red/Purple/black screen,RUNTIME FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Norway,SYSTEM BOARD
Memory - Correctable Memory Error Threshold Exceeded,Memory DIMM failure/uncorrectable memory error/correctable threshold exceeded,RESEAT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Netherlands,SYSTEM BOARD
Memory - Post Error 207,Controller failure or error,MEMORY,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,United Arab Emirates,SYSTEM BOARD
Runtime - OS Crash (xSOD Crash),Blue/Red/Purple/black screen,RUNTIME FAILURES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
"No Boot - Power LED Green for a Moment, then Turns Amber",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AM,Peru,SYSTEM BOARD
Embedded Controller - PCA replaced for ROC Issue,Controller failure or error,EMBEDDED CONTROLLER,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,Canada,SYSTEM BOARD
Miscellaneous PCA Issues - FW Update Failure/Crash,No boot/No Video,MISCELLANEOUS PCA ISSUES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
"No Boot - No Power, No LEDs, No iLO",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AM,Ecuador,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),No boot/No Video,PROCESSOR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,Canada,SYSTEM BOARD
Remote Management - Management Processor Failure,System Board failure or error,REMOTE MANAGEMENT,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AM,USA,SYSTEM BOARD
Miscellaneous PCA Issues - FW Update Failure/Crash,Error warning reported by the system,MISCELLANEOUS PCA ISSUES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Port not Working - SD Card,No boot/No Video,CONNECTOR/PORT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
No Boot - Blinking Health LED,System reboots,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,Mexico,SYSTEM BOARD
Fan - Fan Failure Reported,Module failure or issue,RESEAT,Density Optimized,Density Optimized,Hyperscale XL,Apollo 6000,Density Optimized,FoxConn,Apollo 6000a,Intel,2,AM,USA,SYSTEM BOARD
Runtime - Random Reboots (ASR),System reboots,RUNTIME FAILURES,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),System reboots,MULTIPLE PARTS,Density Optimized,Density Optimized,Hyperscale XL,XL170r,Density Optimized,FoxConn,XL170r Gen9,Intel,2,AM,USA,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),System Board failure or error,PROCESSOR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,System Board failure or error,NOT ENOUGH INFORMATION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,USA,SYSTEM BOARD
"No Boot - No Power, No LEDs, No iLO",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AM,Uruguay,SYSTEM BOARD
Power - System Power Fault Detected,System reboots,POWER FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AM,Argentina,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),Slow or degraded performance,MULTIPLE PARTS,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AM,Peru,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,System Board failure or error,NOT ENOUGH INFORMATION,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Memory - DIMM LEDs Lit (Server Boots),Memory DIMM failure/uncorrectable memory error/correctable threshold exceeded,OTHER,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
"No Boot - Power LED Green for a Moment, then Turns Amber",No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,SY-Core 2P,DL80,Rack,H3C,DL80 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Runtime - Random Reboots (ASR),System reboots,RUNTIME FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL80,Rack,H3C,DL80 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,System shuts down,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL60,Rack,H3C,DL60 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Processor - PCA Replaced for Unspecified CPU Error,Hard Drive failure or error,PROCESSOR,Rack & Tower,Rack & Tower,SY-Core 2P,DL60,Rack,H3C,DL60 Gen9,Intel,2,AP,Singapore,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,Australia,SYSTEM BOARD
Memory - PCA Replaced for Unspecified Memory Issue,Memory DIMM failure/uncorrectable memory error/correctable threshold exceeded,MEMORY,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,AP,New Zealand,SYSTEM BOARD
Runtime - Unexpected Shutdown (Power Button Push Required),System shuts down,RUNTIME FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AM,Brazil,SYSTEM BOARD
Fan - Fans at High Speed - No Other Data Provided,Fan issue/Failure,FAN,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,AM,Brazil,SYSTEM BOARD
Remote Management - Management Processor Failure,iLO failure or error,REMOTE MANAGEMENT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,FW errors/warning,NOT ENOUGH INFORMATION,Rack & Tower,Rack & Tower,SY-Core 2P,ML150,Tower,Wistron,ML150 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Remote Management - Management Processor Failure,System Board failure or error,REMOTE MANAGEMENT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Remote Management - Management Processor Failure,System Board failure or error,REMOTE MANAGEMENT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,Singapore,SYSTEM BOARD
No Boot - No Further Details Specified,System shuts down,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL360,Rack,Inventec,DL360 Gen9,Intel,2,AP,India,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL380,Rack,Inventec,DL380 Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Processor - Uncorrectable Machine Check Exception (MCE),System Board failure or error,PROCESSOR,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,AP,China Peoples Republic Of,SYSTEM BOARD
Runtime - Random Reboots (ASR),System reboots,MULTIPLE PARTS,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Turkey,SYSTEM BOARD
No Boot - No Further Details Specified,No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL180,Rack,Inventec,DL180 Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
Power - System Power Fault Detected,No boot/No Video,MULTIPLE PARTS,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
Power - PCA Replaced for Power Supply Issue,No boot/No Video,POWER FAILURES,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,Belgium,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,System Board failure or error,NOT ENOUGH INFORMATION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Italy,SYSTEM BOARD
Not Enough Information - Part Request Only,System Board failure or error,NOT ENOUGH INFORMATION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Italy,SYSTEM BOARD
Not Enough Information - Inadequate Case Details to Determine Symptom,Error warning reported by the system,NOT ENOUGH INFORMATION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Italy,SYSTEM BOARD
"No Boot - Power LED Green for a Moment, then Turns Amber",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,DL60,Rack,H3C,DL60 Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
Port not Working - SD Card,iLO failure or error,CONNECTOR/PORT,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Netherlands,SYSTEM BOARD
Expansion/Option - Installed Option Cards not Recognized at POST,System Board failure or error,MULTIPLE PARTS,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,France,SYSTEM BOARD
Not Enough Information - Part Request Only,System Board failure or error,NOT ENOUGH INFORMATION,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Norway,SYSTEM BOARD
"No Boot - No Video, Will not POST",No boot/No Video,NO BOOT,Rack & Tower,Rack & Tower,SY-Core 2P,ML350,Tower,FoxConn,ML350 Gen9,Intel,2,EMEA,France,SYSTEM BOARD
Memory - DIMM LEDs Lit (Server Boots),Error warning reported by the system,MEMORY,Enterprise,Blades,MV-Blades-2P,BL460,Blades,FoxConn,BL460c Gen9,Intel,2,EMEA,Germany,SYSTEM BOARD
